Sentence ID,Prediction
10102950001,7
10102950002,1
10102950003,13
10102950004,13
10102950005,6
10102950006,8
10102950007,4
10102950008,4
10102950009,6
10102950010,6
10102950011,7
10102950012,14
10102950013,7
10102950014,4
10102950015,8
10102950016,13
10102950017,13
10102950018,11
10102950019,8
10102950021,8
10102950022,10
10102950023,8
10102950024,4
10102950025,14
10102950026,6
10102950028,12
10102950029,8
10102950030,10
10102950031,12
10102950032,9
10102950033,12
10102950034,9
10102950035,10
10102950036,12
10102950037,11
10102950038,7
10102950039,1
10102950040,9
10102950041,4
10102950042,5
10102950043,6
10102960001,5
10102960002,11
10102960003,9
10102960004,5
10102960005,7
10102960006,10
10102960007,12
10102960008,9
10102960009,10
10102960010,13
10102960011,10
10102960012,8
10102960013,10
10102960014,12
10102970001,5
10102970002,3
10102970003,12
10102970004,7
10102970005,10
10102970006,10
10102970007,12
10102970008,8
10102970009,8
10102970010,9
10102970011,10
10102970012,4
10102970013,10
10102970014,7
10102970015,7
10102970016,5
10102970017,10
10102970018,7
10102970020,10
10102970021,10
10102970022,8
10102970023,8
10102970024,8
10102970025,9
10102970026,8
10102970027,8
10102970028,8
10102970029,8
10102970030,1
10102970031,8
10102970032,13
10102970033,8
10102970034,5
10102970035,5
10102970036,8
10102970037,4
10102970038,5
10102970039,4
10102970040,8
10102970041,8
10102970042,8
10102970043,10
10102970044,4
10102980001,7
10102980002,12
10102980003,10
10102980004,12
10102980005,14
10102980006,12
10102980007,12
10102980008,12
10102980009,12
10102980010,11
10102980011,12
10102980012,12
10102980013,14
10102980014,14
10102980015,12
10102980016,14
10102980017,14
10102990001,1
10102990002,12
10102990003,12
10102990004,7
10102990005,4
10102990006,11
10102990007,6
10102990008,5
10102990009,6
10102990010,8
10102990011,10
10102990012,6
10102990013,7
10102990014,10
10102990015,11
10102990016,10
10102990017,10
10102990018,7
10102990019,10
10102990020,9
10102990021,14
10102990022,10
10102990023,8
10102990024,8
10102990025,10
10102990026,6
10102990027,8
10102990028,12
10102990029,8
10102990030,14
10102990031,8
10102990032,8
10102990033,10
10102990034,9
10102990035,12
10102990036,12
10103000001,7
10103000002,12
10103000003,12
10103000004,8
10103000005,7
10103000006,14
10103000007,12
10103000008,12
10103000009,8
10103000010,12
10103000011,14
10103000012,12
10103000013,14
10103000014,11
10103000015,12
10103000016,12
10103000017,7
10103000018,14
10103000019,14
10103000020,7
10103000021,7
10103000022,2
10103000023,7
10103000024,2
10103000025,12
10103000026,11
10103000027,2
10103000028,3
10103000029,12
10103000030,14
10103000031,14
10103010001,15
10103010002,14
10103010003,12
10103010004,7
10103010005,10
10103010006,11
10103010007,10
10103010008,7
10103010009,6
10103010010,12
10103010011,12
10103010012,3
10103010013,8
10103010014,12
10103010015,10
10103010016,10
10103010017,8
10103010018,10
10103010019,10
10103010020,10
10103010021,10
10103010022,10
10103010023,14
10103010024,7
10103010025,8
10103010026,9
10103010027,10
10103010028,14
10103010029,7
10103010031,12
10103010032,10
10103020001,7
10103020002,12
10103020003,7
10103020004,7
10103020005,10
10103020006,8
10103020007,10
10103020008,7
10103020009,10
10103020010,8
10103020011,10
10103020012,8
10103020013,8
10103020014,7
10103020015,1
10103020016,8
10103020017,9
10103020018,8
10103020019,5
10103020020,9
10103020021,4
10103020022,2
10103020023,11
10103020024,6
10103030001,7
10103030002,7
10103030003,3
10103030004,8
10103030005,10
10103030006,8
10103030007,10
10103030008,12
10103030009,10
10103030010,9
10103030012,9
10103030013,10
10103030014,8
10103030015,5
10103030016,8
10103030017,9
10103030018,8
10103030019,10
10103030020,8
10103030021,5
10103030022,10
10103030023,7
10103030024,12
10103030025,8
10103030026,8
10103030027,5
10103030028,13
10103030029,2
10103030030,7
10103030031,7
10103030032,8
10103030033,10
10103030034,13
10103030035,9
10103030036,5
10103030037,7
10103040001,7
10103040002,7
10103040003,5
10103040004,7
10103040005,12
10103040006,13
10103040007,12
10103040008,12
10103040009,12
10103040010,12
10103040011,12
10103040012,12
10103040013,12
10103040014,6
10103050001,3
10103050002,12
10103050003,7
10103050004,10
10103050005,9
10103050006,10
10103050007,10
10103050008,4
10103050009,7
10103050010,1
10103050011,4
10103050012,10
10103050013,4
10103050014,10
10103050015,8
10103050016,2
10103050017,8
10103050018,13
10103050019,4
10103050020,9
10103050021,5
10103050022,14
10103050023,10
10103050024,6
10103050025,10
10103050026,8
10103050027,13
10103050028,8
10103050029,8
10103050030,5
10103050031,7
10103050032,10
10103050033,5
10103050034,10
10103050035,1
10103050036,6
10103050037,4
10103050038,8
10103050039,10
10103050040,8
10103050041,7
10103050042,10
10103050043,7
10103050044,2
10103050045,7
10103050046,8
10103050047,8
10103050048,9
10103050049,8
10103050050,7
10103050051,10
10103050052,7
10103050053,8
10103050054,13
10103050055,10
10103050056,5
10103050057,7
10103050058,10
10103050059,7
10103050060,8
10103050061,7
10103050062,8
10103050063,8
10103050064,8
10103050065,10
10103050066,8
10103050067,7
10103050068,8
10103050069,10
10103050070,8
10103050071,10
10103050072,7
10103050073,7
10103050074,10
10103050075,10
10103050076,8
10103050077,8
10103050078,10
10103050079,10
10103050080,6
10103050081,12
